Key	Value
掐不准咒诀，正在恼火	Bấm không đúng chú quyết, đang bực mình
练习秘法时，正乐在其中	Luyện tập bí pháp, Vui vẻ
在练习秘法之时，正觉得心烦意乱	Trong lúc luyện tập bí pháp, cảm thấy tâm phiền ý loạn
在练习秘法间余，刚小憩片刻	Giữa lúc luyện tập bí pháp, nghỉ ngơi một chốc lát
在练习秘法时，突然走神	Lúc luyện tập bí pháp, đột nhiên thất thần
在练习秘法时略有所得，刚准备收工	Đang luyện tập bí pháp thì có giác ngộ, chuẩn bị nghỉ ngơi
练习秘法不顺，觉得有点灰心	Luyện tập bí pháp không như ý, cảm thấy có chút nản lòng
正专心练习秘法	Đang chuyên tâm luyện tập bí pháp
无心练习秘法，正想偷懒	Không có tâm trạng luyện tập bí pháp, đang muốn lười biếng
练习秘法完毕，正感觉十分疲惫	Luyện tập bí pháp hoàn tất, Cảm giác mười phần mỏi mệt
整理好心情，准备开始练习护体	Chuẩn bị xong tâm trạng, chuẩn bị luyện tập hộ thể
想到又要练习护体，正觉得忧郁	Nghĩ tới lại muốn luyện tập hộ thể, đang cảm thấy sầu muộn
在练习护体之时，正觉得十分痛苦	Trong lúc luyện tập hộ thể, cảm thấy thống khổ mười phần
正咬牙坚持练习护体	Đang cắn răng kiên trì luyện tập hộ thể
在练习护体间余，刚小憩片刻	Giữa lúc luyện tập hộ thể, nghỉ ngơi một chốc lát
在练习护体之时，正觉得生无可恋	Trong lúc luyện tập hộ thể, cảm thấy đời không thể luyến
在练习护体时突然走神	Đang luyện tập hộ thể lúc đột nhiên thất thần
终于完成了此次护体练习，喜上眉梢	Rốt cuộc hoàn thành hộ thể luyện tập lần này, vui vẻ nhướng mày
正专心练习护体	Đang chuyên tâm luyện tập hộ thể
无心练习护体，正想偷懒	Không có tâm trạng luyện tập hộ thể, đang muốn lười biếng
正懒懒散散的练习护体中	Đang lười luyện tập hộ thể
觉得练习护体好难，正有点灰心	Cảm thấy luyện tập hộ thể thật là khó, Đang cảm thấy nản chí
正在为要不要练习护体而困扰	Đang vì chuyện có muốn luyện tập hay không mà phiền não
练习护体时走岔了气，正准备休息一下	Đang lúc luyện hộ thể thì đi làm cái khác, chuẩn bị nghỉ ngơi một lát
正在练习护体	Đang luyện tập hộ thể
练习护体许久，正累的气喘吁吁	Luyện tập hộ thể hồi lâu, mệt mỏi thở hồng hộc
结束今天的练习护体功课，正疼的直咧嘴	Kết thúc bài học hộ thể ngày hôm nay, Đau đến nhếch miệng
刚结束今天的练习护体功课	Vừa hoàn thành khóa hộ thể hôm nay
刚练完护体，正觉得有点意犹未尽	Vừa luyện hộ thể xong, đang cảm thấy có chút chưa hết dư vị
凝神聚气，准备开始御剑练习	Ngưng thần tụ khí, chuẩn bị bắt đầu luyện tập ngự kiếm
准备开始练习御剑术	Chuẩn bị bắt đầu luyện tập ngự kiếm thuật
在练习御剑之时，正因法宝太快而苦恼	Đang luyện tập ngự kiếm, vì pháp bảo quá nhanh mà cảm thấy khổ não
正沉醉在御剑练习中	Đang chìm đắm trong luyện tập ngự kiếm
在练习御剑间余，刚小憩片刻	Giữa lúc tập ngự kiếm, nghỉ ngơi một chốc lát
在练习御剑时突然走神	Đang luyện tập ngự kiếm lúc đột nhiên thất thần
无心练习御剑术，正想偷懒	Không có tâm trạng luyện tập ngự kiếm thuật, đang muốn lười biếng
正心不在焉的练习御剑中	Đang không yên lòng luyện tập ngự kiếm
觉得自己不是练剑的料，正有点灰心	Cảm thấy bản thân không có thiên phú luyện kiếm, Đang cảm thấy nản chí
正在犹豫要不要练剑	Đang do dự có muốn luyện kiếm hay không
练习御剑术时走岔了气，正调整内息	Luyện tập ngự kiếm thuật lúc đi vào nhầm hướng, Điều chỉnh nội tức
正在练习御剑术	Đang luyện tập ngự kiếm thuật
练习御剑完毕，正觉得畅快淋漓	Luyện tập ngự kiếm hoàn tất, Cảm thấy thoải mái vô cùng
结束今天的御剑功课，正准备收工	Kết thúc bài học ngự kiếm hôm nay, Đang chuẩn bị kết thúc công việc
刚结束今天的御剑功课	Vừa hoàn thành khóa ngự kiếm hôm nay
炼宝	Luyện bảo
焚香祈愿，准备开始炼制法宝	Dâng hương cầu nguyện, chuẩn bị bắt đầu luyện chế pháp bảo
心事重重的准备开始炼制法宝	Tâm sự nặng nề, chuẩn bị đi luyện chế pháp bảo
炼制法宝结束，正感叹炼器之道博大精深	Luyện chế pháp bảo kết thúc, Ngồi xuống cảm thán luyện khí chi đạo bác đại tinh thâm
建造	Xây dựng
在建筑工作之时，正感觉有点无聊	Trong lúc trúc công, cảm thấy có chút buồn chán
在建筑工作之时，突然被思念袭击	Trong lúc trúc công, đột nhiên bị nỗi nhớ nhung tập kích
在建筑工作间余，刚小憩片刻	Giữa lúc trúc công, nghỉ ngơi một chốc lát
在建筑工作之时，正在胡思乱想	Trong lúc trúc công, đi suy nghĩ miên man
在建筑工作时，正累的气喘吁吁	Trong lúc trúc công, mệt mỏi thở hồng hộc
在建筑工作时，正忍不住神游天外	Trong lúc trúc công, nhịn không được mà đi vào cõi thần tiên
在建筑工作时，正快乐的哼着小调	Trong lúc trúc công, vui vẻ ngâm một khúc ca
建筑工作不顺，觉得有点消沉	Việc xây dựng không được thuận, cảm thấy tinh thần có hơi sa sút
正专心建筑工作	Đang chuyên tâm xây dựng
无心建筑工作，正想偷懒	Không có tâm trạng xây dựng, đang muốn lười biếng
建筑工作时连续失误，差点弄伤自己，正感觉有点生气	Lúc xây dựng liên tục gây sai lầm, thiếu chút nữa làm bản thân bị thương, đang cảm thấy bực mình
正在乐呵呵的建筑工作中	Đang vui tươi hớn hở  xây dựng
刚完成一个建筑，准备休息一下	Vừa xây xong một công trình, đang định nghỉ ngơi một chút
刚完成建筑工作，准备洗洗手收工	Vừa hoàn thành xây dựng, chuẩn bị rửa tay kết thúc công việc
正在准备工具，去执行建筑工作	Đang chuẩn bị công cụ, đi thực hiện xây dựng
移除	Dọn dẹp
在移除工作之时，正感觉有点无聊	Trong lúc dời bỏ, cảm thấy có chút buồn chán
在移除工作之时，突然心烦意乱	Trong lúc dời bỏ, đột nhiên tâm phiền ý loạn
在移除工作间余，刚小憩片刻	Giữa lúc dời bỏ, nghỉ ngơi một chốc lát
在移除工作之时，正在胡思乱想	Trong lúc dời bỏ, đi suy nghĩ miên man
在移除工作时，正累的气喘吁吁	Lúc dời bỏ, mệt mỏi thở hồng hộc
在移除工作时，正忍不住神游天外	Lúc dời bỏ, nhịn không được mà đi vào cõi thần tiên
在移除工作时，正快乐的哼着小调	Lúc dời bỏ, vui vẻ ngâm một khúc ca
移除工作不顺，觉得有点消沉	Công việc dời bỏ không được thuận, cảm thấy tinh thần có hơi sa sút
正专心移除工作	Đang chuyên tâm dời bỏ
无心移除工作，正想偷懒	Không có tâm trạng làm việc dời bỏ, đang muốn lười biếng
正在乐呵呵的移除工作中	Đang vui tươi hớn hở dời bỏ
拆除	Dỡ bỏ
在拆迁建筑之时，正觉得很爽快	Trong lúc phá bỏ và dời công trình đi nơi khác, cảm thấy rất sảng khoái
在拆迁建筑之时，突然想起了故乡	Trong lúc phá bỏ và dời công trình đi nơi khác, đột nhiên nhớ quê nhà
在拆迁建筑间余，刚小憩片刻	Giữa lúc phá bỏ và dời công trình đi nơi khác, nghỉ ngơi một chốc lát
在拆迁建筑之时，正在胡思乱想	Trong lúc phá bỏ và dời công trình đi nơi khác, đi suy nghĩ miên man
在拆迁建筑时，正累的气喘吁吁	Trong lúc phá bỏ và dời công trình đi nơi khác, mệt mỏi thở hồng hộc
在拆迁建筑时，正忍不住神游天外	Trong lúc phá bỏ và dời công trình đi nơi khác, nhịn không được mà đi vào cõi thần tiên
在拆迁建筑时，正快乐的哼着小调	Trong lúc phá bỏ và dời công trình đi nơi khác, vui vẻ ngâm một khúc ca
拆迁建筑不顺，觉得有点消沉	Phá bỏ và di dời công trình không thuận, cảm thấy tinh thần có hơi sa sút
正专心拆迁建筑	Đang chuyên tâm phá bỏ và di dời công trình
无心拆迁建筑，正想偷懒	Không có tâm trạng di dời công trình, đang muốn lười biếng
拆迁建筑时连续失误，差点弄伤自己，正感觉有点生气	Lúc phá bỏ và di dời công trình liên tục mắc sai lầm, thiếu chút nữa làm bản thân bị thương, đang cảm thấy bực mình
正在乐呵呵的拆迁建筑中	Đang vui tươi hớn hở phá bỏ và di dời công trình
刚拆完成一个建筑，正觉得有点可惜	Vừa hoàn thành phá hủy công trình, đang cảm thấy có chút đáng tiếc
正在准备工具，去执行拆迁工作	Đang chuẩn bị công cụ, đi thực hiện di dời
进食	Ăn cơm
正觉得很饿，准备吃点东西	Đang cảm thấy rất đói, chuẩn bị ăn cái gì đó
正大口朵颐	Đang há to mồm cắn ăn
吃东西中噎了自己一下，正慌忙的喝水	Đang ăn cái mắc nghẹn hà, đang vội vàng uống miếng nước
正一脸不痛快的吃饭	Đang vẻ mặt không thoải mái mà ăn cơm
快乐的享受着进食的乐趣	Vui vẻ hưởng thụ lạc thú ăn cơm
吃东西呛了自己一口，正大声咳嗽	Đang ăn cái bị sặc, đang lớn tiếng ho khan
吃东西时好像在思考什么，一脸凝重	Đang ăn mà trầm tư cái gì đó, vẻ mặt ngưng trọng
刚刚吃饱喝足，正满意的拍肚子	Mới ăn no uống đủ, đang thỏa mãn vỗ bụng
畅饮	Uống thỏa thích
正觉得很渴，准备喝点东西	Đang cảm thấy rất khát, chuẩn bị uống cái gì đó
正大痛饮	Đang tu ừng ực
喝东西时呛了自己一下，正不住咳嗽	Đang uống cái gì đó tự dưng bị sặc, đang ho không ngừng
正一脸不痛快的喝着什么	Đang vẻ mặt không thoải mái mà uống cái gì đó
喝东西时好像在思考什么，一脸凝重	Đang uống cái gì đó tự dưng trầm tư, vẻ mặt ngưng trọng
正在专心的照顾他人	Đang chuyên tâm chăm sóc người khác
照顾别人，正觉得有点无聊	Dạy bảo người khác, Đang cảm thấy có chút nhàm chán
在照顾别人之时，正感觉有点无聊	Trong lúc chăm sóc người khác, cảm thấy có chút buồn chán
在照顾别人之时，突然心烦意乱	Trong lúc chăm sóc người khác, đột nhiên tâm phiền ý loạn
在照顾别人的间余，刚小憩片刻	Giữa lúc chăm sóc người khác, nghỉ ngơi một chốc lát
在照顾别人之时，正在胡思乱想	Trong lúc chăm sóc người khác, đi suy nghĩ miên man
在照顾别人时，正快乐的哼着小调	Lúc chăm sóc người khác, vui vẻ ngâm một khúc ca
不太想照顾这个人，正准备偷懒	Chẳng muốn chăm sóc nó chút nào, đang định làm biếng
正在享受照顾别人的幸福中	Đang hưởng thụ hạnh phúc khi chăm sóc người khác
修理	Sửa chữa
在修理建筑之时，正感觉有点无聊	Trong lúc sửa chữa công trình, cảm thấy có chút buồn chán
在修理建筑间余，刚小憩片刻	Trong lúc sửa chữa công trình, nghỉ ngơi một chốc lát
在修理建筑之时，正在胡思乱想	Trong lúc sửa chữa công trình, đi suy nghĩ miên man
在修理建筑时，正累的气喘吁吁	Trong lúc sửa chữa công trình, mệt mỏi thở hồng hộc
在修理建筑时，正忍不住神游天外	Trong lúc sửa chữa công trình, nhịn không được mà đi vào cõi thần tiên
在修理建筑时，正快乐的哼着小调	Trong lúc sửa chữa công trình, vui vẻ ngâm một khúc ca
修理建筑不顺，觉得有点消沉	Sửa chữa công trình không thuận, cảm thấy tinh thần có hơi sa sút
正专心修理建筑	Đang chuyên tâm sửa công trình
无心修理建筑，正想偷懒	Không có tâm trạng sửa công trình, đang muốn lười biếng
修理建筑时连续失误，差点弄伤自己，正感觉有点生气	Lúc sửa chữa công trình cứ liên tục mắc sai lầm, thiếu chút nữa làm bản thân bị thương, đang cảm thấy bực mình
正在乐呵呵的修理建筑中	Đang vui tươi hớn hở sữa công trình
刚完成修理建筑，准备洗洗手收工	Vừa sửa xong công trình, chuẩn bị rửa tay kết thúc công việc
正在准备工具，去执行修理建筑	Đang chuẩn bị công cụ, đi thực hiện sửa công trình
娱乐	Tiêu khiển
正准备娱乐一下放松放松	Đang chuẩn bị tiêu khiển thả lỏng bản thân một chút
正惬意的享受自己的娱乐时间	Đang thích ý hưởng thụ thời gian tiêu khiển của mình
刚刚玩了个痛快，正准备收收心	Vừa chơi đã đời, đang chuẩn bị kiềm chế lại
正无所事事的消磨着时光	Đang rảnh rỗi giết thời gian
走路	Đi đường
正匆匆赶路	Đang vội vã chạy đi
正兴高采烈的赶路	Đang cao hứng bừng bừng chạy nhảy
正面无表情的赶路	Đang mặt không cảm xúc chạy đi
正慢悠悠的走路	Đang chậm rãi bước đi
赶路时略感疲惫，正准备歇一歇脚	Đang chạy thì cảm thấy uể oải, chuẩn bị nghỉ chân một chút
搬运	Vận chuyển
在搬运之时，正感觉有点无聊	Lúc vận chuyển, cảm thấy có chút buồn chán
在搬运间余，刚小憩片刻	Giữa lúc vận chuyển, nghỉ ngơi một chốc lát
在搬运之时，正在胡思乱想	Lúc vận chuyển, đi suy nghĩ miên man
在搬运时，正累的气喘吁吁	Lúc vận chuyển, mệt mỏi thở hồng hộc
正哼着小调搬运什么东西	Đang cười khẽ vận chuyển đồ
正专心搬运	Đang chuyên tâm vận chuyển
无心搬运这些东西，正一脸不开心	Không có tâm trạng vận chuyển mấy thứ này, vẻ mặt đang không vui
搬运时连续手滑，差点弄伤自己，正感觉有点生气	Lúc vận chuyển tay liên tục trơn trượt, thiếu chút nữa làm bản thân bị thương, đang cảm thấy bực mình
刚搬完一堆货物，准备休息一下	Vừa dọn xong một đống hàng hóa, đang định nghỉ ngơi một chút
刚完成搬运工作，准备洗洗手收工	Vừa hoàn thành việc vận chuyển, chuẩn bị rửa tay kết thúc công việc
收获	Thu hoạch
在收获之时，正感觉有点无聊	Trong lúc thu hoạch, cảm thấy có chút buồn chán
在收获间余，刚小憩片刻	Giữa lúc thu hoạch, nghỉ ngơi một chốc lát
在收获时，正累的气喘吁吁	Lúc thu hoạch, mệt mỏi thở hồng hộc
在收获时，正忍不住神游天外	Lúc thu hoạch, nhịn không được mà đi vào cõi thần tiên
在收获时，正快乐的哼着小调	Lúc thu hoạch, vui vẻ ngâm một khúc ca
正专心收获	Đang chuyên tâm thu hoạch
收获时心不在焉，正想找个机会偷懒	Lúc thu hoạch lòng cứ không yên, đang muốn tìm một cơ hội để lười biếng
正在乐呵呵的收获中	Đang vui tươi hớn hở thu hoạch
刚完成收获，准备洗洗手收工	Vừa hoàn thành thu hoạch, chuẩn bị rửa tay kết thúc công việc
正在准备工具，去收获作物	Đang chuẩn bị công cụ, đi thực hiện thu hoạch cây trồng
发呆	Đờ người
正在发呆	Đang ngẩn người
不知道在想什么，一脸呆滞	Không biết đang suy nghĩ cái gì, mặt đần thối
正在发愁今天做什么东西吃	Đang buồn rầu nghĩ hôm nay nấu cái gì ăn
正在享受烹饪的快乐	Đang hưởng thụ niềm vui từ nấu nướng
正在一脸不情愿的做饭	Đang vẻ mặt không tình nguyện mà làm cơm
刚做完饭，准备休息一下	Mới làm cơm xong, đang định nghỉ ngơi một chút
正心无旁骛的做饭中	Đang không chuyên tâm làm cơm
锻造	Rèn đúc
在锻造之时，正感觉有点无聊	Lúc rèn đồ, cảm thấy có chút buồn chán
在锻造间余，刚小憩片刻	Giữa lúc rèn đồ, nghỉ ngơi một chốc lát
在锻造之时，刚刚险些砸了自己的脚	Lúc rèn đồ, suýt chút nữa đập vào chân bản thân
在锻造时，正累的气喘吁吁	Đang rèn đúc, mệt mỏi thở hồng hộc
在锻造时，正在走神	Đang rèn đúc, thì xuất thần
在锻造时，正快乐的哼着小调	Đang rèn đúc, vui vẻ ngâm một khúc ca
锻造时，被叮叮当当的声音弄得有点烦	Đang rèn đúc, Bị âm thanh đinh đinh đang đang làm cho có chút phiền
正专心锻造	Đang chuyên tâm rèn đồ
无心锻造，正想找个机会划划水	Không có tâm trạng rèn đồ, đang muốn tìm một cơ hội nghịch nước
刚完成一件锻造作品，准备休息一下	Vừa rèn xong một vật phẩm, đang định nghỉ ngơi một chút
刚完成锻造，准备熄灭炉火收工	Vừa hoàn thành rèn đồ, chuẩn bị tắt lò lửa kết thúc công việc
正在准备工具，去执行锻造	Đang chuẩn bị công cụ, đi thực hiện rèn đồ
制作	Chế tạo
在手工作业时，正感觉有点无聊	Trong lúc làm thủ công, cảm thấy có chút buồn chán
在手工作业间余，正小憩片刻	Giữa lúc làm thủ công, nghỉ ngơi trong chốc lát
正心不在焉的手工作业中	Đang không yên lòng làm thủ công
在手工时，正快乐的哼着小调	Lúc làm thủ công, vui vẻ ngâm một khúc ca
正心无旁骛的手工作业中	Đang không chuyên tâm làm thủ công
正在乐呵呵的手工中	Đang vui tươi hớn hở làm thủ công
刚完成手工作业，准备收拾手工桌	Vừa hoàn thành việc thủ công, chuẩn bị dọn dẹp bàn thủ công
正在准备工具，去执行手工作业	Đang chuẩn bị công cụ, đi thực hiện thủ công
缝制	May
在缝纫作业时，正感觉有点无聊	Lúc may vá, cảm thấy có chút buồn chán
在缝纫作业间余，正小憩片刻	Giữa lúc may vá, nghỉ ngơi trong chốc lát
正心不在焉的缝纫作业中	Đang không yên lòng may vá
在缝纫时，正快乐的哼着小调	Lúc may vá, vui vẻ ngâm một khúc ca
正心无旁骛的缝纫作业中	Đang không chuyên tâm may vá
正在乐呵呵的缝纫中	Đang vui tươi hớn hở may vá
刚完成缝纫作业，准备收拾缝纫桌	Vừa hoàn thành may mặc, chuẩn bị dọn dẹp bàn may
正在准备工具，去执行缝纫作业	Đang chuẩn bị công cụ, đi thực hiện may vá
在缝纫时，差点被扎伤自己，正一脸后怕	Lúc may vá, mém chút tự châm mình bị thương, nghĩ lại mà sợ
打磨	Rèn luyện
在切石作业时，正感觉有点无聊	Đang lúc cắt đá, cảm thấy có chút buồn chán
在切石作业间余，正小憩片刻	Trong lúc cắt đá, nghỉ ngơi trong chốc lát
正心不在焉的切石作业中	Đang không yên lòng cắt đá
在切石时，正快乐的哼着小调	Lúc cắt đá, vui vẻ ngâm một khúc ca
正心无旁骛的切石作业中	Đang không chuyên tâm cắt đá
正在乐呵呵的切石中	Đang vui tươi hớn hở cắt đá
刚完成切石作业，正拍落衣服上的石屑灰尘	Vừa hoàn thành việc cắt đá, đang vỗ vỗ bụi đá trên người
正在准备工具，去执行切石作业	Đang chuẩn bị công cụ, đi thực hiện cắt đá
制药	Chế dược
在制药作业时，正感觉有点无聊	Đang lúc chế dược, cảm thấy có chút buồn chán
在制药作业间余，正小憩片刻	Trong lúc chế dược, nghỉ ngơi trong chốc lát
正心不在焉的制药作业中	Đang không yên lòng chế dược
在制药时，正快乐的哼着小调	Lúc chế dược, vui vẻ ngâm một khúc ca
正心无旁骛的制药作业中	Đang không chuyên tâm chế dược
正在乐呵呵的制药中	Đang vui tươi hớn hở chế dược
刚完成制药作业，准备收拾制药桌	Vừa hoàn thành chế dược, chuẩn bị dọn dẹp bàn dược
配药时好像放错了一味药，正一脸思索	Lúc phối dược hình như bỏ sai loại dược, đang vẻ mặt trầm tư
砍柴	Đốn củi
在砍柴时，正感觉有点无聊	Lúc đốn củi, cảm thấy có chút buồn chán
在砍柴间余，正小憩片刻	Giữa lúc đốn củi, nghỉ ngơi trong chốc lát
正心不在焉的砍柴中	Đang không yên lòng đốn củi
在砍柴时，正快乐的哼着小调	Lúc đốn củi, vui vẻ ngâm một khúc ca
正心无旁骛的砍柴中	Đang không chuyên tâm đốn củi
正在乐呵呵的砍柴中	Đang vui tươi hớn hở đốn củi
刚砍完柴，正在擦汗	Vừa chặt củi xong, đang lau mồ hôi
焚香祈愿，准备开始炼制丹药	Dâng hương cầu nguyện, Chuẩn bị luyện chế đan dược
庄重的开启丹炉，准备炼丹	Trang trọng mở lò đan, Chuẩn bị luyện đan
炼丹结束，正面无表情的熄灭丹炉	Luyện đan kết thúc, Đang mặt không biểu lộ dập tắt đan lô
开采	Khai thác
在挖矿时，正感觉有点无聊	Đang đào khoáng, cảm thấy có chút buồn chán
正在一脸期待的挖矿中	Đang vẻ mặt vẻ mặt chờ mong mà đào khoáng
在挖矿间余，正想小憩片刻	Giữa lúc đào khoáng, muốn nghỉ ngơi một lát
正心不在焉的挖矿中	Đang không yên lòng đào khoáng
在挖矿时，正快乐的哼着小调	Đang đào khoáng, vui vẻ ngâm một khúc ca
正心无旁骛的挖矿中	Đang không chuyên tâm đào khoáng
正在乐呵呵的挖矿中	Đang vui tươi hớn hở đào khoáng
刚从矿坑里出来，正在擦汗	Mới bước ra từ trong hầm, đang lau mồ hôi
种植	Trồng trọt
在种植作物时，正感觉有点无聊	Lúc trồng cây, cảm thấy có chút buồn chán
正在一脸期待的种植作物中	Đang vẻ mặt chờ mong mà trồng cây
在种植作物间余，小憩片刻	Giữa lúc trồng cây, nghỉ xíu
正心不在焉的种植中	Đang không yên lòng trồng trọt
在种植时，正快乐的哼着小调	Lúc trồng cây, vui vẻ ngâm một khúc ca
正心无旁骛的种植中	Đang không chuyên tâm trồng trọt
正在乐呵呵的种植中	Đang vui tươi hớn hở trồng cây
擦了擦汗，正满意的看着刚种完的田地	Lau mồ hôi, thỏa mãn nhìn đồng ruộng bản thân vừa gieo xong
移除地板	Dời sàn nhà
在拆地板之时，正觉得很爽快	Trong lúc dỡ sàn nhà, cảm thấy rất sảng khoái
在拆地板间余，刚小憩片刻	Trong lúc dỡ sàn nhà, nghỉ ngơi một chốc lát
在拆地板之时，正在胡思乱想	Trong lúc dỡ sàn nhà, đi suy nghĩ miên man
在拆地板时，正累的气喘吁吁	Lúc dỡ sàn nhà, mệt mỏi thở hồng hộc
在拆地板时，正忍不住神游天外	Lúc dỡ sàn nhà, nhịn không được mà đi vào cõi thần tiên
在拆地板时，正快乐的哼着小调	Lúc dỡ sàn nhà, vui vẻ ngâm một khúc ca
正专心拆地板	Đang chuyên tâm gỡ sàn
正在乐呵呵的拆地板中	Đang vui tươi hớn hở dỡ sàn nhà
调查	Điều tra
正一脸好奇的查看什么东西	Đang vẻ mặt hiếu kỳ kiểm tra cái gì đó
安装建筑	Lắp đặt kiến trúc
正满意的看着自己刚刚安装的建筑	Đang thỏa mãn nhìn công trình mình vừa lắp đặt
正辛苦的安装建筑	Đang khổ cực lắp đặt công trình
屠宰	Làm thịt
正掩着口鼻屠宰牲畜	Đang che miệng giết súc vật
正不情不愿的屠宰牲畜	Đang không tình nguyện giết súc vật
睡觉	Ngủ
治疗	Trị liệu
正专心的给伤员治疗	Đang chuyên tâm trị liệu cho người bệnh
正在一脸怜悯的给伤员治疗	Đang vẻ mặt thương hại trị liệu cho người bệnh
正在一脸埋怨的给伤员治疗	Đang vẻ mặt oán giận trị liệu cho người bệnh
刚刚完成一次治疗，松了松疲惫肩膀	Vừa mới hoàn thành trị liệu, thả lỏng bờ vai mỏi
兽圈	Chuồng thú
药田	Dược điền
灵植影响范围	Phạm vi ảnh hưởng linh thực
区域数据	Số liệu khu vực
农田	Nông điền
房间	Gian phòng
分堂区域	Khu vực phân đường
重新激活	Kích hoạt lại
拜祖师	Bái tổ sư
开启阵法	Mở trận pháp
关闭阵法	Đóng trận pháp
命令与行为	Mệnh lệnh và hành vi
[color=#bf642f]分堂掌管能力：{0}[/color]\n	[color=#bf642f]Năng lực của chưởng quản phân đường:{0}[/color]\n
{0}加成：{1}\n	{0}gia tăng:{1}\n
境界加成：{0}\n	Gia tăng cảnh giới:{0}\n
道行加成：{0}\n	Gia tăng đạo hạnh:{0}\n
功法加成：{0}\n	Gia tăng công pháp:{0}\n
交互	Tương tác
与这个物体交互	Tương tác với vật thể này
拼装耗时 : 	Lúc láp ráp :
自己	Bản thân
默认目标	Thừa nhận mục tiêu
手选单位	Chọn đơn vị
手选目标点	Chọn mục tiêu
手选目标范围	Chọn phạm vi
所有可见目标	Tất cả những mục tiêu có thể thấy được
灵气最低的目标	Mục tiêu có linh khí thấp nhất
距离最近的目标	Mục tiêu gần nhất
随机目标	Mục tiêu ngẫu nhiên
法宝威力 :{0:N0}	Uy lực của pháp bảo :{0:N0}
灵气容量 :{0:N0}	Dung lượng linh khí :{0:N0}
回灵速度 :{0:N1}/秒	Tốc độ hồi linh :{0:N1}/giây
飞行速度 :{0:N1}米/秒	Tốc độ phi hành :{0:N1}m/s
转弯速度 :{0:N0}度/秒	Tốc độ chuyển ngoặt :{0:N0}Độ/giây
攻击间隔 :{0:N1}秒	Khoảng cách công kích :{0:N1}giây
击退抵抗 :{0:P0}	Đề kháng đánh lui :{0:P0}
击退强度 :{0:P0}	Cường độ đánh lui :{0:P0}
体积 :{0:P0}	Thể tích :{0:P0}
拖尾长度 :{0:N1}米	Độ dài kéo đuôi :{0:N1}mét
飞行速度 :{0:P1}	Tốc độ phi hành :{0:P1}
{0}\n目标阵营：{4}\n目标类型：{3}\n消耗灵气：{1:N0}点\n施法间隔：{2:F1}秒\n	{0}\nTrận doanh mục tiêu:{4}\nLoại hình mục tiêu:{3}\nTiêu hao linh khí:{1:N0}điểm\nKhoảng cách thi pháp:{2:F1}giây\n
友方	Phía bạn bè
敌方	Quân địch
作用半径：{0:F1}米\n	Bán kính ảnh hưởng:{0:F1}mét\n
持续时间：{0:F1}秒\n	Thời gian duy trì:{0:F1}giây\n
对目标造成{0:F0}点灵气伤害	Đối mục tiêu tạo thành{0:F0}điểm tổn thương linh khí
增强法宝威力{0:P0}	Tăng cường uy lực pháp bảo{0:P0}
回复目标{0:F0}点灵气	Mục tiêu hồi phục{0:F0}Điểm linh khí
提高护体金光强度{0:P0}	Đề cao kim quang hộ thể{0:P0}
强化术法伤害{0:P0}	Cường hóa tổn thương pháp thuật{0:P0}
术法与法宝	Thuật pháp cùng Pháp bảo
的	của
{0}释放的{1}	{0}Phóng thích{1}
神兽灵智	Linh trí thần thú
工作与劳动	Công tác và lao động
不安	Bất an
埋葬	Mai táng
{0}之墓	{0}chi mộ
{0}\n享年{1:N0}岁\n死因:{2}	{0}\nHưởng thọ{1:N0}tuổi\nNguyên nhân chết:{2}
未知	Không biết
祭拜	Tế bái
打水	Múc nước
扫地	Quét rác
{0}享用:{1}	{0}hưởng dụng:{1}
规划行程	Quá trình quy hoạch
休息	Nghỉ ngơi
规划路线	Tuyến quy hoạch
探索	Thăm dò
面向	Mặt hướng
挖土	Đào đất
喂食	Đút ăn
喂水	Đút nước
喂{0}吃了东西	Đút{0}Đã ăn cái gì đó
喂{0}喝了水	Đút{0}Đã uống nước
待机	Thời cơ
游荡	Lêu lổng
嗷~	Ngao ~
放灯	Đặt đèn
被{0}屠宰	Bị{0}Làm thịt
前往	Đi đến
击杀	Đánh chết
被{0}击杀	Bị{0}Đánh chết
驻扎	Đóng quân
历练中	Đang lịch luyện
放下收获	Bỏ thu hoạch
犹豫不决	Do dự
挖地离开	Đào đất đi
看天花板	Nhìn trần nhà
晨观日出	Thần quan nhật xuất
暮观日落	Hoàng hôn mặt trời lặn
赏月	Ngắm trăng
凝神望天	Ngưng thần nhìn trời
夜观星象	Đêm xem tinh tượng
观云卷云舒	Nhìn mây cuộn mây tan
听雨	Nghe mưa
赏雪	Thưởng tuyết
随便看看	Tùy tiện nhìn thử
读书品卷	Đọc sách phẩm quyển
翩然起舞	Nhanh nhẹn nhảy múa
熔炼中	Đang dung luyện
打包建筑	Mở ra công trình
打包	Đóng gói
灭火	Dập lửa
灭火失败	Dập lửa thất bại
搜索	Lục lọi
神秘修行者	Tu hành giả thần bí
交流	Giao lưu
打架	Đánh nhau
接受治疗	Tiếp nhận trị liệu
等待收留	Đợi được giữ lại
等待帮助	Chờ đợi trợ giúp
观察	Quan sát
收留	Thu lưu
提供帮助	Cung cấp trợ giúp
驱逐	Trục xuất
劝说留下	Thuyết phục ở lại
孵蛋	Ấp trứng
生育	Sinh nở
魔(茫然)	Ma (Mờ mịt)
茫然	Mờ mịt
魔(幽闭)	Ma (Giam cầm)
幽闭	Giam cầm
封闭	Phong bế
